Concurso,Data Sorteio,Bola1 sorteio 1,Bola2 sorteio 1,Bola3 sorteio 1,Bola4 Sorteio 1,Bola5 sorteio 1,Bola6 sorteio 1,Ganhadores 6 acertos  Sorteio 1,Cidade / UF,Rateio 6 acertos  Sorteio1,Ganhadores 5   acertos Sorteio1,Rateio 5 acertos Sorteio1,Ganhadores 4 acertos Sorteio1,Rateio 4 acertos Sorteio1,Ganhadores 3 acertos Sorteio1,Rateio 3 acertos Sorteio1,Bola1 sorteio 2,Bola2 sorteio 2,Bola3 sorteio 2,Bola4 Sorteio 2,Bola5 sorteio 2,Bola6 sorteio 2,Ganhadores 6 acertos Sorteio2,Rateio 6 acertos  Sorteio 2,Ganhadores 5 acertos Sorteio2,Rateio 5 acertos Sorteio 2,Ganhadores 4 acertos Sorteio2,Rateio 4 acertos Sorteio 2,Ganhadores 3 acertos Sorteio2,Rateio 3 acertos Sorteio 2, Acumulado 6 acertos sorteio 1,Arrecadacao Total,Estimativa Prêmio,Acumulado Sorteio Especial Dupla de Páscoa,Observação
431,17/02/2006,13,32,35,36,43,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,9,18,29,32,35,0,"R$0,00",29,"R$5.480,40",1924,"R$82,29",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 21/02/2006: R$6.000.000,00."
432,21/02/2006,11,12,19,21,42,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,17,27,28,32,43,0,"R$0,00",38,"R$3.858,63",1916,"R$76,24",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 24/02/2006: R$6.500.000,00."
433,24/02/2006,4,20,21,33,38,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,6,19,34,39,46,3,"R$97.299,43",76,"R$2.560,51",3097,"R$62,61",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU! Estim. de prêmio (sena 1º sorteio) p/ o próx. concurso, a ser realizado em 03/03/2006: R$7.000.000,00. Ganhadores do 2º sorteio: RJ e SP(2)."
434,03/03/2006,7,16,20,21,37,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,10,14,20,23,38,0,"R$0,00",45,"R$4.868,04",2814,"R$77,56",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º sorteio) para o próximo concurso, a ser realizado em 07/03/06: R$7.500.000,00."
435,07/03/2006,4,13,17,24,25,37,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",30,31,37,41,49,50,0,"R$0,00",29,"R$6.568,06",1743,"R$108,87",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso, a ser realizado em 10/03/2006: R$8.000.000,00."
436,10/03/2006,5,13,25,29,30,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,13,15,20,21,30,0,"R$0,00",42,"R$5.150,17",2742,"R$78,60",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Acumulou!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso a ser realizado em 14/03: R$8.700.000,00."
437,14/03/2006,2,8,11,40,41,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,13,16,26,33,42,0,"R$0,00",62,"R$3.222,72",3547,"R$56,12",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 17/03/2006: R$9.500.000,00."
438,17/03/2006,2,6,8,17,28,34,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,5,8,12,17,21,0,"R$0,00",98,"R$2.637,96",4881,"R$52,77",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena - 1º sorteio) para o próximo concurso, a ser realizado em 21/03/2006: R$10.500.000,00"
439,21/03/2006,4,8,20,21,40,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,9,15,41,46,48,0,"R$0,00",64,"R$4.130,47",3538,"R$74,44",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 24/03/2006: R$11.000.000,00."
440,24/03/2006,1,31,33,37,38,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,18,19,32,36,47,0,"R$0,00",95,"R$3.215,24",4917,"R$61,89",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 28/03/2006: R$12.000.000,00."
441,28/03/2006,13,17,25,26,42,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,11,14,20,36,41,0,"R$0,00",66,"R$4.328,78",3529,"R$80,66",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena - 1º sorteio) para o próximo concurso, a ser realizado em 31/03/2006: R$13.000.000,00."
442,31/03/2006,4,13,19,23,28,35,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,9,14,17,36,49,0,"R$0,00",79,"R$3.949,25",5335,"R$58,26",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","A C U M U L O U ! ! ! Estimativa de prêmio (sena 1º sorteio) próximo concurso, a ser realizado em 04/04/2006: R$14.000.000,00."
443,04/04/2006,22,23,25,35,41,47,1,SP,"R$13.768.755,84",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,19,38,42,47,49,0,"R$0,00",76,"R$3.940,93",4917,"R$60,68",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estim. prêmio (sena 1º sorteio) próx. conc., a ser realiz. em 07/04: R$600.000,00. Acum. do 2º para 1º sorteio: R$449.265,70. Ganhador 1º sorteio: SP."
444,07/04/2006,6,18,21,27,29,38,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,13,14,15,23,34,0,"R$0,00",26,"R$4.444,17",1754,"R$65,63",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 11/04/2006: R$1.000.000,00."
445,11/04/2006,15,20,29,33,38,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,2,8,29,30,36,0,"R$0,00",18,"R$5.604,55",1177,"R$85,39",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 18/04/2006: R$1.200.000,00."
446,18/04/2006,12,20,32,34,40,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,8,32,40,44,49,0,"R$0,00",36,"R$3.357,06",2079,"R$57,91",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena - 1º sorteio) para o próximo concurso, a ser realizado em 25/04/2006: R$1.600.000,00."
447,25/04/2006,8,16,20,22,38,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",17,20,31,32,46,50,0,"R$0,00",19,"R$6.585,44",1069,"R$116,61",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 28/04/2006: R$2.000.000,00."
448,28/04/2006,10,14,15,26,28,39,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,5,24,25,42,46,1,"R$175.439,92",40,"R$2.924,00",2157,"R$54,03",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 02/05/2006: R$2.200.000,00. Ganhador do 2º sorteio: SP."
449,02/05/2006,4,11,15,22,35,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,14,15,23,32,36,0,"R$0,00",18,"R$4.520,86",1341,"R$60,45",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","A C U M U L O U ! ! ! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 05/05/2006: R$2.400.000,00."
450,05/05/2006,9,11,18,21,22,39,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",17,20,24,28,37,48,0,"R$0,00",28,"R$4.481,88",1440,"R$86,82",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 09/05/2006: R$2.800.000,00."
451,09/05/2006,5,14,28,35,39,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,5,19,34,40,48,0,"R$0,00",24,"R$4.889,77",1780,"R$65,68",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 12/05/2006: R$3.200.000,00."
452,12/05/2006,16,23,24,25,40,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,22,26,27,37,39,1,"R$202.157,35",15,"R$8.984,77",1366,"R$98,29",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 16/05/2006: R$3.400.000,00. Ganhador do 2º sorteio: SP."
453,16/05/2006,13,17,21,31,43,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,22,37,47,48,50,0,"R$0,00",24,"R$4.928,53",1586,"R$74,30",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 19/05/2006: R$3.700.000,00."
454,19/05/2006,11,25,28,40,44,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,16,18,24,41,45,4,"R$48.353,04",29,"R$4.446,26",1849,"R$69,48",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa prêmio (sena 1º sorteio) próximo concurso, a ser realizado 23/05/2006: R$4.000.000,00. Ganhdores 2º sorteio: MG(02), PR, SC."
455,23/05/2006,2,3,5,11,41,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,16,22,26,37,44,0,"R$0,00",34,"R$3.403,08",1979,"R$58,25",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 26/05/2006: R$4.300.000,00."
456,26/05/2006,5,9,11,30,35,36,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,10,23,30,31,50,0,"R$0,00",26,"R$5.297,78",1638,"R$83,79",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 30/05/2006: R$4.700.000,00."
457,30/05/2006,5,11,15,20,39,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",21,23,43,44,47,48,0,"R$0,00",34,"R$3.690,76",1492,"R$83,80",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso, a ser realizado em 02/06/2006: R$5.000.000,00."
458,02/06/2006,1,21,23,34,44,46,1,SC,"R$5.131.586,60",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,5,7,11,32,38,0,"R$0,00",27,"R$6.414,02",2241,"R$76,99",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA 1º SORTEIO) próximo concurso, a ser realizado em 06/06/2006: R$350.000,00. Acumulado do 2º para o 1º sorteio: R$259.767,83."
459,06/06/2006,1,8,12,32,38,41,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,9,15,17,22,37,0,"R$0,00",25,"R$3.217,04",1151,"R$69,62",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 09/06/2006: R$650.000,00."
460,09/06/2006,6,13,17,20,36,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,27,29,33,35,49,0,"R$0,00",47,"R$2.029,73",1863,"R$51,02",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (Sena 1º Sorteio) para o próximo concurso, a ser realizado em 13/06/2006: R$1.000.000,00."
461,13/06/2006,2,3,5,32,42,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",16,25,35,42,43,50,0,"R$0,00",9,"R$7.800,64",670,"R$104,40",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso, a ser realizado em 16/06/2006: R$1.200.000,00."
462,16/06/2006,19,25,29,31,44,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,5,17,18,34,41,0,"R$0,00",23,"R$3.781,36",1141,"R$75,95",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso a ser realizado em 20/06/2006: R$1.400.000,00."
463,20/06/2006,3,28,30,36,37,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,14,27,35,39,43,0,"R$0,00",35,"R$2.549,94",1343,"R$66,21",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU! Estimativa de prêmio (sena - 1º sorteio) para o próximo concurso, a ser realizado em 23/06/2006: R$1.700.000,00."
464,23/06/2006,3,20,33,35,44,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",12,16,31,34,35,47,0,"R$0,00",25,"R$4.080,49",1555,"R$65,36",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!  Estimativa de premio (sena 1º sorteio) para o próximo concurso, a ser realizado em 27/06/2006: R$2.000.000,00."
465,27/06/2006,19,22,24,30,31,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,9,24,32,43,50,0,"R$0,00",18,"R$4.409,51",1159,"R$68,23",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 30/06/2006: R$2.200.000,00."
466,30/06/2006,6,9,13,28,46,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,8,23,26,28,39,0,"R$0,00",43,"R$2.357,44",1559,"R$64,78",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 04/07/2006: R$2.500.000,00."
467,04/07/2006,6,27,38,39,46,48,1,MT,"R$2.514.240,82",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,17,22,23,25,28,0,"R$0,00",14,"R$6.641,36",1314,"R$70,50",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estim. prêmio (sena 1º sorteio) próximo concurso, a ser realizado em 07/07/2006: R$250.000,00. Acumulado 2º para 1º sorteio: R$139.468,48."
468,07/07/2006,1,3,6,8,16,19,1,SC,"R$257.161,01",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,22,30,32,36,42,0,"R$0,00",18,"R$4.358,98",800,"R$97,71",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (sena 1º sorteio) próx. concurso, a ser realizado em 11/07/2006: R$250.000,00. Acumulado 2º para 1º sorteio: R$117.692,53."
469,11/07/2006,21,22,24,32,34,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,12,31,32,42,49,0,"R$0,00",11,"R$5.876,20",644,"R$99,99",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO)para o próximo concurso, a ser realizado em 14/07/2006: R$400.000,00."
470,14/07/2006,3,9,11,20,44,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,28,32,34,40,44,0,"R$0,00",12,"R$6.655,81",607,"R$131,08",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso, a ser realizado em 18/07/2006: R$700.000,00."
471,18/07/2006,8,9,15,33,37,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",13,15,19,30,34,50,0,"R$0,00",20,"R$3.569,68",1085,"R$65,55",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso a ser realizado em 21/07/2006: R$900.000,00."
472,21/07/2006,4,13,33,34,36,37,1,MS,"R$898.362,04",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,8,16,18,30,46,0,"R$0,00",18,"R$4.924,64",1223,"R$72,21",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estim. prêmio (sena 1º sorteio) para o próx. concurso, a ser realizado em 25/07/2006: R$250.000,00. Acumulado do 2º para o 1º sorteio: R$132.965,22."
473,25/07/2006,1,28,31,32,42,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,28,33,36,40,43,0,"R$0,00",18,"R$3.563,72",680,"R$93,99",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso, a ser realizado em 28/07/2006: R$400.000,00."
474,28/07/2006,1,18,24,29,30,33,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",7,13,14,22,38,40,0,"R$0,00",35,"R$2.289,16",1065,"R$74,95",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso, a ser realizado em 01/08/2006: R$700.000,00."
475,01/08/2006,14,22,30,43,49,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,5,7,15,31,37,0,"R$0,00",14,"R$4.462,10",896,"R$69,46",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 04/08/2006: R$900.000,00."
476,04/08/2006,1,8,9,10,39,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,8,22,26,31,42,0,"R$0,00",11,"R$7.646,06",1008,"R$83,13",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 08/08/2006: R$1.100.000,00."
477,08/08/2006,1,6,7,9,12,30,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",11,15,26,27,30,40,0,"R$0,00",24,"R$3.249,87",744,"R$104,45",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado 11/08/2006: R$ 1.400.000,00."
478,11/08/2006,5,9,25,26,36,37,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,11,12,20,41,42,0,"R$0,00",22,"R$4.310,34",1001,"R$94,38",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso a ser realizado em 15/08/2006: R$1.700.000,00."
479,15/08/2006,9,15,17,28,38,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,10,20,29,37,46,0,"R$0,00",8,"R$10.026,94",864,"R$92,50",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 18/08/2006: R$1.900.000,00."
480,18/08/2006,19,31,36,41,48,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,10,28,33,38,48,0,"R$0,00",12,"R$8.422,46",1161,"R$86,73",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 22/08/2006: R$2.200.000,00."
481,22/08/2006,2,11,18,30,47,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,10,12,16,28,42,0,"R$0,00",25,"R$3.746,08",1600,"R$58,31",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 25/08/2006: R$2.500.000,00."
482,25/08/2006,1,12,20,23,38,40,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",14,15,30,40,44,49,0,"R$0,00",7,"R$16.076,53",929,"R$120,68",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso a ser realizado em 29/08/2006: R$2.800.000,00."
483,29/08/2006,8,21,27,40,44,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,8,27,36,37,47,0,"R$0,00",12,"R$7.582,83",1210,"R$74,93",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso, a ser realizado em 01/09/2006: R$3.100.000,00."
484,01/09/2006,7,13,21,24,38,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,11,18,21,44,45,0,"R$0,00",18,"R$6.229,28",1595,"R$70,04",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso, a ser realizado em 05/09/2006: R$3.500.000,00."
485,05/09/2006,7,17,20,30,31,38,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,14,26,27,28,42,0,"R$0,00",22,"R$4.539,27",1503,"R$66,19",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 08/09/2006: R$3.800.000,00."
486,08/09/2006,2,12,14,24,39,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,14,23,24,36,37,0,"R$0,00",17,"R$5.944,58",855,"R$117,76",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 12/09/2006: R$4.100.000,00."
487,12/09/2006,12,16,24,36,37,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",13,16,32,33,37,44,0,"R$0,00",28,"R$4.017,06",1703,"R$65,80",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1 º sorteio) para o próximo concurso, a ser realizado em 15/09/2006: R$4.400.000,00."
488,15/09/2006,5,8,18,22,27,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,4,18,39,41,43,0,"R$0,00",13,"R$9.776,55",1228,"R$103,11",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!!Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso a ser realizado em 19/09/2006: R$4.800.000,00."
489,19/09/2006,10,13,15,28,43,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,22,34,40,42,44,0,"R$0,00",20,"R$5.535,53",1470,"R$75,04",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso a ser realizado em 22/09/2006: R$5.200.000,00."
490,22/09/2006,1,3,7,29,38,41,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,11,21,23,40,44,0,"R$0,00",42,"R$3.303,44",1927,"R$71,73",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 26/09/2006: R$5.500.000,00."
491,26/09/2006,18,24,29,32,35,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",11,14,25,33,42,50,0,"R$0,00",43,"R$2.878,30",2013,"R$61,26",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso a ser realizado em 29/09/2006: R$6.000.000,00."
492,29/09/2006,8,31,34,36,38,39,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",25,27,29,32,34,40,0,"R$0,00",38,"R$3.765,52",1758,"R$81,09",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso a ser realizado em 03/10/2006: R$6.300.000,00."
493,03/10/2006,2,3,17,24,27,35,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,5,6,11,14,27,0,"R$0,00",53,"R$2.555,39",2214,"R$60,94",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 06/10/2006: R$6.800.000,00."
494,06/10/2006,16,21,28,35,46,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,19,21,31,45,47,0,"R$0,00",47,"R$3.389,94",2443,"R$64,98",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 10/10/2006: R$7.300.000,00."
495,10/10/2006,6,12,24,29,39,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,14,35,37,42,49,0,"R$0,00",58,"R$2.436,03",2706,"R$52,03",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (SENA 1º SORTEIO) para o próximo concurso, a ser realizado em 13/10/2006: R$7.700.000,00."
496,13/10/2006,4,22,24,26,36,37,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,13,22,35,47,49,0,"R$0,00",94,"R$1.584,64",3269,"R$45,40",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (sena 1º sorteio) para o próximo concurso, a ser realizado em 17/10/2006: R$8.200.000,00."
